RANK,FIRST_NAME,DATA1,DATA2,
1,JAMES,3.32%,"10,835,570",
2,JOHN,3.27%,"10,682,082",
3,ROBERT,3.14%,"10,264,073",
4,MICHAEL,2.63%,"8,585,507",
5,WILLIAM,2.45%,"8,004,214",
6,DAVID,2.36%,"7,716,833",
7,RICHARD,1.70%,"5,561,475",
8,CHARLES,1.52%,"4,973,651",
9,JOSEPH,1.40%,"4,585,033",
10,THOMAS,1.38%,"4,506,656",
11,CHRISTOPHER,1.04%,"3,379,992",
12,DANIEL,0.97%,"3,180,785",
13,PAUL,0.95%,"3,095,877",
14,MARK,0.94%,"3,063,220",
15,DONALD,0.93%,"3,040,360",
16,GEORGE,0.93%,"3,027,297",
17,KENNETH,0.83%,"2,697,462",
18,STEVEN,0.78%,"2,547,241",
19,EDWARD,0.78%,"2,543,975",
20,BRIAN,0.74%,"2,403,550",
21,RONALD,0.73%,"2,367,627",
22,ANTHONY,0.72%,"2,354,565",
23,KEVIN,0.67%,"2,191,280",
24,JASON,0.66%,"2,155,357",
25,MATTHEW,0.66%,"2,145,560",
26,GARY,0.65%,"2,122,701",
27,TIMOTHY,0.64%,"2,090,044",
28,JOSE,0.61%,"2,001,870",
29,LARRY,0.60%,"1,952,884",
30,JEFFREY,0.59%,"1,930,025",
31,FRANK,0.58%,"1,897,368",
32,SCOTT,0.55%,"1,783,068",
33,ERIC,0.54%,"1,776,537",
34,STEPHEN,0.54%,"1,763,474",
35,ANDREW,0.54%,"1,753,677",
36,RAYMOND,0.49%,"1,593,658",
37,GREGORY,0.44%,"1,440,171",
38,JOSHUA,0.44%,"1,420,576",
39,JERRY,0.43%,"1,410,779",
40,DENNIS,0.42%,"1,355,263",
41,WALTER,0.40%,"1,303,012",
42,PATRICK,0.39%,"1,270,355",
43,PETER,0.38%,"1,244,229",
44,HAROLD,0.37%,"1,211,572",
45,DOUGLAS,0.37%,"1,198,509",
46,HENRY,0.37%,"1,191,978",
47,CARL,0.35%,"1,129,930",
48,ARTHUR,0.34%,"1,094,007",
49,RYAN,0.33%,"1,071,147",
50,ROGER,0.32%,"1,051,553",
51,JOE,0.32%,"1,048,287",
52,JUAN,0.32%,"1,031,959",
53,JACK,0.32%,"1,028,693",
54,ALBERT,0.31%,"1,025,428",
55,JONATHAN,0.31%,"1,022,162",
